 Source Name ;Alternate Name(s);Type ;TypeID;Gal_Long;Gal_Lat;RA;Dec;Skymap_x;Skymap_y;Distance(kpc/z);Energy(MeV);General Information 
GX 5-1;4U 1758-25,2S 1758-25,1H 1758-250;LMXRB;1;5.08;-1.02;270.28;-25.08;5.0792;-1.0200;9;0.05–0.18;"Flux measurement (Levine et al. 1984); spectrum (Beurle et al. 1984); distance (Christian & Swank 1997)"
GX 9+1;4U 1758-20,2S 1758-205,1H 1758-205,Sgr X-3;LMXRB;1;9.08;1.1;270.38;-20.53;9.0783;1.1000;7;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
H0614+091;4U 0614+09,2S 0614+091,3A 0614+091;LMXRB;1;200.88;-3.36;94.28;9.14;-158.8465;-3.3600;5;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
H0918-549;4U 0919-54,2S 0918-549;LMXRB;1;275.85;-3.84;140.11;-55.21;-83.9611;-3.8400;15;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
H1145-619;4U 1145-61,2S 1145-619,3A 1145-619,2E 1145.5-6155;HMXRB;1;295.61;-0.24;177;-62.21;-64.3894;-0.2400;1.5;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Jones, Chetin, & Miller 1974)"
H1254-690;4U 1254-69,2E 1254.3-6900;Accretor;1;303.48;-6.42;194.41;-69.29;-56.1656;-6.4200;12;0.05–0.06;"Low-energy flux (Coe et al. 1976b); distance (Christian & Swank 1997)"
H1417-624;4U 1416-62,3A 1417-624,2S 1417-624;HMXRB;1;313.02;-1.6;215.3;-62.7;-46.9617;-1.6000;;0.05–0.12;"Flux measurement (Levine et al. 1984); monitoring observations (Finger, Wilson, & Chakrabarty 1996b)"
H1517+656;;Quasar;7;102.87;45.24;229.03;65.84;72.4347;45.2400;;0.05–0.15;Detection of low-energy gamma-rays (McNaron-Brown et al. 1995)
H1538-522;GX 327+05.5,4U 1538-52,2S 1538-522,NOR X-2;HMXRB;1;327.42;2.16;235.6;-52.39;-32.5569;2.1600;5.5 ± 1.5;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Crampton, Hutchings, & Cowley 1978)"
H1608-522;4U 1608-52,2S 1608-523,GX 331-01,QX Nor;LMXRB;1;330.93;-0.85;243.18;-52.42;-29.0668;-0.8500;4;0.02–0.20;"Detection of low-energy outburst (Zhang et al. 1996b); distance (Christian & Swank 1997)"
H1624-490;4U 1624-49,2S 1624-49,3A 1624-490;LMXRB;1;334.91;-0.27;247.02;-49.2;-25.0897;-0.2700;15;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
H1636-536;4U 1636-53,2S 1636-536,3A 1636-536;LMXRB;1;332.91;-4.82;250.23;-53.75;-26.9942;-4.8200;6.5;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
H1658-298;4U 1704-30,3A 1658-298,V2134 Oph;LMXRB;1;353.83;7.27;255.53;-29.95;-6.1204;7.2700;;0.05–0.08;Flux measurement (Levine et al. 1984)
H1705-250;3A 1705-250,Nova Oph 1977,V2107 Oph;LMXRB;1;358.59;9.06;257.06;-25.09;-1.3924;9.0600;6;0.05–0.2;"Low-energy spectral observation (Wilson & Rothschild 1983); distance (Remillard et al. 1996)"
H1705-440;4U 1705-44,2S 1705-44,EXO 1705-440;LMXRB;1;343.32;-2.34;257.23;-44.1;-16.6661;-2.3400;11;0.05–0.08;"Flux measurements (Levine et al. 1984; Barret et al. 1996); distance (Christian & Swank 1997)"
H1743-322;;LMXRB;1;357.13;-1.61;266.26;-32.23;-2.8689;-1.6100;;0.05–0.18;Flux measurement (Levine et al. 1984)
H1745-203;;LMXRB;1;7.72;3.79;267.22;-20.37;7.7031;3.7900;;0.05–0.08;Flux measurement (Levine et al. 1984)
H1755-338;Sco X-6,4U 1755-33,2S 1755-33,V4134 Sgr;LMXRB;1;357.22;-4.87;269.67;-33.81;-2.7700;-4.8700;6;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
H1820-303;SGR X-4,4U 1820-30,3A 1820-303,2S 1820-303;LMXRB;1;2.79;-7.91;275.92;-30.36;2.7635;-7.9100;6.4;0.18;"Low-energy gamma-ray emission (Jayanthi, Jablonski, & Steiner 1989); distance (Christian & Swank 1997)"
H1907+097;4U 1907+09,1M 1906+097,3A 1907+097;HMXRB;1;43.74;0.48;287.41;9.83;43.7385;0.4800;2.4-5.9;0.05–0.10;"Flux measurements (Levine et al. 1984); spectrum (Chinis et al. 1993); distance (van Kerkwijk, van Oijen, & van den Heuvel 1989)"
Her X-1;4U 1656+35,2A 1655+353,H1656+354;LMXRB;1;58.2;37.52;254.46;35.34;46.1608;37.5200;;0.5–0.06,200000;"Low-energy spectrum (Gruber et al. 1980; Wilson et al. 1994a; Matt et al. 1990); discussion of possible TeV emission (Reynolds et al. 1993; Vishwanath et al. 1989)"
IC 4329A;1H 1345-300;Seyfert 1;3;317.5;30.92;207.33;-30.31;-36.4601;30.9200;0.016;0.05–0.15;Gamma-ray spectrum (Madejski et al. 1995)
KS 1731-260;;LMXRB;1;1.06;3.65;263.55;-26.1;1.0578;3.6500;;0.05–0.15;Low-energy spectrum (Barret et al. 1992b)
LMC;2EG J0532-6914;Galaxy;4;280.47;-32.89;80.9;-69.75;-66.7825;-32.8900;52;100;"High-energy emission (Sreekumar et al. 1992); distance (Di Benedetto 1997)"
LMC X-4;1A 0532-66,1H 0534-667,4U 0532-66;HMXRB;1;276.34;-32.53;83.21;-66.37;-70.5346;-32.5300;52;0.05–0.08;"Flux measurement (Levine et al. 1984); distance based on LMC"
MCG +8-11-11;1H 0551+463;Seyfert 1;3;165.73;10.41;88.72;46.44;163.0021;10.4100;0.021;0.05–0.15;"Low-energy spectra (Mushotzky et al. 1978; Frontera et al. 1979b)"
MCG -5-23-16;EQ 0945-307;Seyfert 2;3;262.74;17.23;146.92;-30.95;-92.8953;17.2300;0.008;0.05–0.15;"Spectrum (Rothschild et al. 1983); flux measurement(Johnson et al. 1993)"
MCG -6-30-15;EQ 1333-340;Seyfert 1;3;313.29;27.68;203.98;-34.3;-41.3643;27.6800;0.07;0.05–0.15;Low-energy gamma-ray emission (Johnson et al. 1994)
MRK 279;1H 1350+696,QSO 1351+695;Seyfert 1;3;115.04;46.87;208.26;69.31;78.6478;46.8700;0.029;0.05–0.15;"Low-energy gamma-ray emission (Johnson et al. 1994; Rothschild et al. 1983)"
